2022-07-04 20:31:20.817 INFO  29268 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1052 ms
2022-07-04 20:31:21.131 INFO  29268 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8443"]
2022-07-04 20:31:21.149 INFO  29268 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (http) with context path ''
2022-07-04 20:31:21.160 INFO  29268 --- [main] com.example.wj.WjApplication - Started WjApplication in 2.185 seconds (JVM running for 4.227)
2022-07-04 20:31:32.389 INFO  29268 --- [http-nio-8443-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-04 20:31:32.389 INFO  29268 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-04 20:31:32.390 INFO  29268 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-07-04 20:31:32.409 WARN  29268 --- [http-nio-8443-exec-1] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:32:12.983 WARN  29268 --- [http-nio-8443-exec-2] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public com.example.wj.common.Result com.example.wj.controller.LoginController.login(com.example.wj.entity.User)]
2022-07-04 20:36:01.186 WARN  29268 --- [http-nio-8443-exec-5] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:40:08.059 WARN  29268 --- [http-nio-8443-exec-7] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:40:31.741 WARN  29268 --- [http-nio-8443-exec-8] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:40:34.294 WARN  29268 --- [http-nio-8443-exec-10] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
